ID,total_fat,total_chol
F2_2,6.59,1646
F2_3,3.75,1216
F2_14,2.96,834
F2_15,6.96,1565
F2_19,3.93,1060
F2_20,6.92,1172
F2_23,4.87,1530
F2_24,5.41,1434
F2_26,7.24,1758
F2_37,1.02,1305
F2_42,5.79,1729
F2_43,2.88,1258
F2_45,7.03,1140
F2_46,1.76,380
F2_47,1.57,978
F2_48,1.72,834
F2_51,5.43,1216
F2_52,4.87,1888
F2_54,8.74,1296
F2_63,5.86,1508
F2_65,6.15,1492
F2_66,5.8,2014
F2_68,4.29,1391
F2_69,4.82,829
F2_70,1.93,857
F2_72,4.1,840
F2_78,3.98,1112
F2_79,5.02,1146
F2_80,8.84,1382
F2_81,4.24,1063
F2_83,6.11,1726
F2_86,3.91,998
F2_87,3.08,753
F2_88,6.98,1016
F2_89,2.15,1162
F2_107,6.05,1306
F2_108,6.41,850
F2_109,6.15,812
F2_110,4.64,1617
F2_111,2.81,1392
F2_112,0.99,1296
F2_119,6.2,1113
F2_125,6.17,1656
F2_126,7.39,1263
F2_127,4.15,1609
F2_141,3.72,1023
F2_142,0.65,942
F2_143,4.78,1148
F2_144,2.5,1065
F2_145,3.87,1105
F2_154,5.29,824
F2_155,3.1,1075
F2_156,5.85,1016
F2_157,0.54,403
F2_162,5.04,1842
F2_163,10.35,1909
F2_164,9.98,1356
F2_165,9.74,1263
F2_166,3.46,994
F2_167,3.4,729
F2_169,3.38,1051
F2_180,5.42,1078
F2_181,2.49,1353
F2_182,4.97,1026
F2_187,5.47,1169
F2_188,2.44,1011
F2_189,4.24,1008
F2_190,5.74,1694
F2_191,5.7,1538
F2_192,4.91,1035
F2_194,4.72,1296
F2_195,0.32,1356
F2_200,6.35,1218
F2_201,8.65,1472
F2_212,4.65,1604
F2_213,5.74,1691
F2_214,3.17,1066
F2_215,4.61,1465
F2_221,7.11,1501
F2_222,5.49,1100
F2_223,4.73,1188
F2_224,5.43,811
F2_225,4.05,800
F2_226,3.1,1054
F2_227,4.35,1500
F2_228,6.81,1635
F2_241,4.97,864
F2_242,4.7,808
F2_243,7.23,817
F2_244,3.28,794
F2_245,4.78,1104
F2_247,5.19,1312
F2_248,2.91,1044
F2_261,5.2,1583
F2_263,4.6,1611
F2_264,5.58,1397
F2_270,6.38,1065
F2_271,3.97,1315
F2_272,4.37,1087
F2_278,5.59,1100
F2_288,4.05,1469
F2_289,4.32,1331
F2_290,4.79,1167
F2_291,5.87,1230
F2_296,4.92,1386
F2_298,4,1334
F2_299,6.09,1114
F2_300,7.3,1414
F2_302,5.65,1468
F2_303,5.87,1444
F2_305,4.1,1475
F2_306,6.21,1632
F2_307,4.51,1277
F2_308,5.59,1284
F2_309,5.29,1657
F2_310,4.54,1287
F2_311,4.17,1183
F2_312,5.45,1442
F2_320,4.2,794
F2_321,5.16,1667
F2_323,6.02,922
F2_324,4.79,1300
F2_325,5.07,1299
F2_326,3.79,971
F2_327,5.45,1291
F2_328,3.96,1004
F2_329,3.79,765
F2_330,2.8,1093
F2_332,3.32,963
F2_355,4.69,663
F2_357,7.14,1118
